"time","bscat_m_1","calibcoef","preassure_mb","temp_K","RH_percent","relay_status"
"1377485280","1.89196e-05","0.000717186000000001","1003.0","315","0","0"
"1377485340","1.98024324324324e-05","0.000717035135135135","1003.0","315","0","0"
"1377485460","1.93464285714286e-05","0.000716766964285714","1003.0","315","0","0"
"1377485520","1.83520535714286e-05","0.000717458035714286","1003.0","315","0","0"
"1377485580","1.93503603603604e-05","0.000717964864864866","1003.0","315","0","0"
"1377485640","2.153875e-05","0.000718281249999998","1003.0","315","0","0"
"1377485700","2.18651785714286e-05","0.000718367857142858","1003.0","315","0","0"
"1377485760","2.11645535714286e-05","0.000718531249999999","1003.0","315","0","0"
"1377485820","2.13095495495495e-05","0.000718248648648648","1003.0","315","0","0"
"1377485880","2.36475675675676e-05","0.00071776036036036","1003.0","314.990990990991","0","0"
"1377485940","2.57809821428571e-05","0.000717671428571429","1003.0","314.964285714286","0","0"
"1377486000","2.52326785714286e-05","0.000717656250000001","1003.0","314.482142857143","0","0"
"1377486060","2.64527678571429e-05","0.000717875892857144","1003.0","314.017857142857","0","0"
"1377486120","2.42795495495496e-05","0.000718181081081082","1003.0","314","0","0"
"1377486180","2.15679464285714e-05","0.000718166071428572","1003.0","314","0","0"
"1377486240","2.14766071428571e-05","0.000718372321428572","1003.0","314","0","0"
"1377486300","2.1641875e-05","0.000718283035714284","1003.0","314","0","0"
"1377486360","2.42768468468468e-05","0.000718263963963965","1003.0","314","0","0"
"1377486420","2.29915315315315e-05","0.000718294594594595","1003.0","314","0","0"
"1377486480","2.25958928571429e-05","0.00071854375","1003.0","314","0","0"
"1377486540","2.213625e-05","0.000719091071428571","1003.0","314","0","0"
"1377486600","2.10277477477477e-05","0.000720356756756758","1003.0","314","0","0"
"1377486660","2.10643243243243e-05","0.00072123153153153","1003.0","314","0","0"
"1377486720","2.23525e-05","0.000722175892857144","1003.0","314","0","0"
"1377486780","2.45924107142857e-05","0.000723041964285712","1003.0","314","0","0"
"1377486840","3.34341964285714e-05","0.00071664375","1003.0","314","0","0"
"1377486900","5.13456756756757e-05","0.000722936936936937","1003.0","314","0","0"
"1377486960","5.76039285714285e-05","0.000722037499999999","1003.0","314","0","0"
"1377487020","5.40935714285714e-05","0.000721166071428573","1003.0","314","0","0"
"1377487080","4.70550892857143e-05","0.000721932142857142","1003.0","314","0","0"
"1377487140","4.28763063063063e-05","0.000723353153153152","1003.0","313.882882882883","0","0"
"1377487200","4.59614285714286e-05","0.000724834821428574","1003.0","313.223214285714","0","0"
"1377487260","4.37516964285714e-05","0.000725400892857142","1003.0","313","0","0"
"1377487320","4.11583928571428e-05","0.000726389285714285","1003.0","313","0","0"
"1377487380","5.5397027027027e-05","0.000727036936936937","1003.0","313","0","0"
"1377487440","4.89899099099099e-05","0.000728119819819819","1003.0","313","0","0"
"1377487500","3.68758928571428e-05","0.000728667857142858","1003.0","312.125","0","0"
"1377487560","2.59677678571428e-05","0.000728688392857143","1003.0","312","0","0"
"1377487620","1.99185585585585e-05","0.000729347747747747","1003.0","312","0","0"
"1377487680","1.91781981981982e-05","0.000729578378378377","1003.0","312","0","0"
"1377487740","1.78780357142857e-05","0.000730248214285717","1003.0","312","0","0"
"1377487800","1.66602678571429e-05","0.000730987500000001","1003.0","311.991071428571","0","0"
"1377487860","1.66137837837838e-05","0.000731430630630631","1003.0","311.072072072072","0","0"
"1377487920","1.52278378378378e-05","0.000732204504504504","1003.0","311","0","0"
"1377487980","1.09482142857143e-05","0.000733158035714287","1003.0","311","0","0"
"1377488040","7.83791071428571e-06","0.000733980357142857","1003.0","311","0","0"
"1377488100","6.17478571428571e-06","0.000734286607142857","1003.0","311","0","0"
"1377488160","7.68058558558559e-06","0.000734716216216216","1003.0","311","0","0"
"1377488220","9.43525892857142e-06","0.00073451875","1003.0","311","0","0"
"1377488280","9.27069642857144e-06","0.000734818749999998","1003.0","311","0","0"
"1377488340","7.44844642857143e-06","0.000735161607142857","1003.0","311","0","0"
"1377488400","7.49135135135135e-06","0.000735112612612614","1003.0","311","0","0"
"1377488460","8.94672972972973e-06","0.000735385585585585","1003.0","310.783783783784","0","0"
"1377488520","1.02930625e-05","0.00073624375","1003.0","310.848214285714","0","0"
"1377488580","1.08397321428571e-05","0.000736629464285715","1003.0","310.839285714286","0","0"
"1377488640","1.34763963963964e-05","0.000737555855855855","1003.0","310.198198198198","0","0"
"1377488700","1.48481981981982e-05","0.000738171171171171","1003.0","310","0","0"
"1377488760","1.48377678571429e-05","0.000738465178571429","1003.0","310","0","0"
"1377488820","1.28838303571429e-05","0.000738352678571429","1003.0","310","0","0"
"1377488880","6.97122522522523e-06","0.000738488288288288","1003.0","310","0","0"
"1377488940","4.93502702702703e-06","0.000738381981981981","1003.0","310","0","0"
"1377489000","5.97333928571429e-06","0.000737852678571426","1003.0","310","0","0"
"1377489060","7.08619642857143e-06","0.000738098214285714","1003.0","310","0","0"
"1377489120","8.2891891891892e-06","0.000738709909909909","1003.0","310","0","0"
"1377489180","9.27085585585585e-06","0.000738355855855855","1003.0","310","0","0"
"1377489240","6.14975675675675e-06","0.000738436936936937","1003.0","310","0","0"
"1377489300","5.86798214285714e-06","0.000738454464285715","1003.0","310","0","0"
"1377489360","6.26469642857144e-06","0.000739532142857143","1003.0","310","0","0"
"1377489420","1.98614324324325e-06","0.000739581081081082","1003.0","310","0","0"
"1377489480","5.67331531531531e-07","0.000739327927927927","1003.0","310","0","0"
"1377489540","4.21609821428571e-06","0.000739491964285714","1003.0","310","0","0"
"1377489600","5.53063392857143e-06","0.000740212499999999","1003.0","310","0","0"
"1377489660","2.65013513513514e-06","0.000740245045045046","1003.0","310","0","0"
"1377489720","3.33675675675675e-06","0.000740473873873875","1003.0","310","0","0"
"1377489780","3.84520535714286e-06","0.000740679464285712","1003.0","310","0","0"
"1377489840","3.32079464285715e-06","0.000740519642857143","1003.0","310","0","0"
"1377489900","2.66994642857143e-06","0.0007398375","1003.0","310","0","0"
"1377489960","9.19084684684684e-06","0.00073979009009009","1003.0","310","0","0"
"1377490020","2.65814285714286e-05","0.000739895535714287","1003.0","310","0","0"
"1377490080","2.27820535714286e-05","0.000739401785714285","1003.0","310","0","0"
"1377490140","1.64803571428572e-05","0.000739121428571429","1003.0","310","0","0"
"1377490200","1.1077954954955e-05","0.00073930990990991","1003.0","310","0","0"
"1377490260","4.98316216216217e-06","0.000739987387387386","1003.0","310","0","0"
"1377490320","1.29609553571429e-05","0.000740190178571427","1003.0","310","0","0"
"1377490380","5.49478571428572e-05","0.000740508928571429","1003.0","310","0","0"
"1377490440","2.91993693693694e-05","0.000741208108108108","1003.0","310","0","0"
"1377490500","1.56672072072072e-05","0.000741505405405406","1003.0","310","0","0"
"1377490560","1.08010357142857e-05","0.000741671428571427","1003.0","310","0","0"
"1377490620","2.38201785714286e-05","0.000741370535714286","1003.0","310","0","0"
"1377490680","1.7838018018018e-05","0.000740285585585586","1003.0","310","0","0"
"1377490740","5.92390990990991e-06","0.000739495495495495","1003.0","310","0","0"
"1377490800","1.00213928571429e-06","0.000739808928571429","1003.0","310","0","0"
"1377490860","-4.978650625e-07","0.000740379464285716","1003.0","310","0","0"
"1377490920","-2.26234821428571e-06","0.000740428571428573","1003.0","310","0","0"
"1377490980","-2.07042342342342e-06","0.000740526126126125","1003.0","310","0","0"
"1377491040","-3.14105357142857e-06","0.000740816071428572","1003.0","310","0","0"
"1377491100","-3.93549107142857e-06","0.000741494642857143","1003.0","310","0","0"
"1377491160","-4.07104464285714e-06","0.000742276785714287","1003.0","310","0","0"
"1377491220","-4.61265765765766e-06","0.000742539639639639","1003.0","310","0","0"
"1377491280","-5.17710714285714e-06","0.000741791071428572","1003.0","310","0","0"
"1377491340","-5.00142857142857e-06","0.000741642857142856","1003.0","310","0","0"
"1377491400","-5.04540178571429e-06","0.000742242857142857","1003.0","310","0","0"
"1377491460","-5.73739285714286e-06","0.0007355125","1003.0","310","0","0"
"1377491520","-6.26785585585586e-06","0.000742290990990992","1003.0","310","0","0"
"1377491580","-5.54603571428571e-06","0.000742010714285715","1003.0","310","0","0"
"1377491640","-4.85395535714286e-06","0.000741461607142856","1003.0","310","0","0"
"1377491700","-5.24482882882883e-06","0.000740265765765766","1003.0","310","0","0"
"1377491760","-2.38089436936937e-06","0.000739649549549551","1003.0","310","0","0"
"1377491820","6.51397464285715e-07","0.000739601785714287","1003.0","310","0","0"
"1377491880","-2.219375e-06","0.000740004464285713","1003.0","310","0","0"
"1377491940","-4.550375e-06","0.00074055357142857","1003.0","310","0","0"
"1377492000","-5.55422522522523e-06","0.000741444144144144","1003.0","310","0","0"
"1377492060","-5.80172072072072e-06","0.000741856756756757","1003.0","309.981981981982","0","0"
"1377492120","-4.874375e-06","0.000742410714285713","1003.0","309.339285714286","0","0"
"1377492180","-4.18075892857143e-06","0.000742795535714286","1003.0","309.080357142857","0","0"
"1377492240","-2.8284954954955e-06","0.000742942342342343","1003.0","309.009009009009","0","0"
"1377492300","-1.32191261261261e-06","0.000742622522522522","1003.0","309.018018018018","0","0"
"1377492360","-2.18503571428571e-06","0.000742572321428572","1003.0","309","0","0"
"1377492420","-4.79585714285714e-06","0.000742416964285714","1003.0","309","0","0"
"1377492480","-4.79603603603604e-06","0.000742359459459459","1003.0","309","0","0"
"1377492540","-5.78903603603603e-06","0.00074273873873874","1003.0","309","0","0"
"1377492600","-4.84874107142857e-06","0.000742867857142857","1003.0","309","0","0"
"1377492660","-3.98541071428572e-06","0.000742579464285714","1003.0","309","0","0"
"1377492720","-3.67228828828829e-06","0.000743026126126125","1003.0","309","0","0"
"1377492780","-3.82191891891892e-06","0.000744114414414415","1003.0","309","0","0"
"1377492840","3.5186875e-07","0.000744629464285714","1003.0","309","0","0"
"1377492900","-1.21844553571429e-06","0.000745168750000001","1003.0","309","0","0"
"1377492960","-2.409625e-06","0.00074498125","1003.0","309","0","0"
"1377493020","-3.53758558558558e-06","0.000744235135135135","1003.0","309","0","0"
"1377493080","-4.38687387387387e-06","0.000743761261261263","1003.0","309","0","0"
"1377493140","-4.73117857142858e-06","0.000743720535714285","1003.0","309","0","0"
"1377493200","-4.84316964285714e-06","0.000743669642857143","1003.0","309","0","0"
"1377493260","-4.86418018018018e-06","0.000744455855855858","1003.0","309","0","0"
"1377493320","-4.82220720720721e-06","0.000745250450450451","1003.0","309","0","0"
"1377493380","-4.68410714285714e-06","0.000745200892857144","1003.0","309","0","0"
"1377493440","-4.3770625e-06","0.000744658035714286","1003.0","309","0","0"
"1377493500","-4.82074774774775e-06","0.00074387927927928","1003.0","309","0","0"
"1377493560","-5.05672072072072e-06","0.000743570270270268","1003.0","309","0","0"
"1377493620","-5.01645535714286e-06","0.000743869642857143","1003.0","309","0","0"
